University of California--Santa Cruz,CA,40241,58.4,80,16231,https://www.ucsc.edu/
University of Delaware,DE,31420,68,81,18322,http://www.udel.edu/
Colorado School of Mines,CO,34828,36.5,82,4608,https://www.mines.edu/
Michigan State University,MI,39090,65.7,83,39143,https://msu.edu/
Texas Christian University,TX,42670,43,84,8894,http://www.tcu.edu/
University of Iowa,IA,28413,81,85,23357,https://uiowa.edu/
Binghamton University--SUNY,NY,22164,41,86,13491,https://www.binghamton.edu/
Indiana University--Bloomington,IN,34246,78,87,38364,https://www.indiana.edu/
Marquette University,WI,38470,74,88,8334,http://www.marquette.edu/
University of Denver,CO,46362,76.5,89,5758,https://www.du.edu/
University of San Diego,CA,46140,52,90,5647,http://www.sandiego.edu/
University of Tulsa,OK,38796,40.3,91,3478,https://utulsa.edu/
Florida State University,FL,24673,56,92,32706,https://www.fsu.edu/
North Carolina State University--Raleigh,NC,26399,43.7,93,24111,https://www.ncsu.edu/
University of Colorado--Boulder,CO,35079,84.2,94,27010,https://www.colorado.edu/
University of Vermont,VT,40364,69,95,10973,https://www.uvm.edu/
Drexel University,PA,51030,75,96,14138,http://www.drexel.edu/
Saint Louis University,MO,40726,61.1,97,8248,https://www.slu.edu/
Stony Brook University--SUNY,NY,26266,41,98,16831,http://www.stonybrook.edu/
Auburn University,AL,28840,77.7,99,21786,https://www.auburn.edu/
Loyola University Chicago,IL,41384,63.3,100,11079,https://www.luc.edu/
SUNY College of Environmental Science and Forestry,NY,17620,51.1,101,1839,http://www.esf.edu/
University at Buffalo--SUNY,NY,26270,57.8,102,19951,http://www.buffalo.edu/
Illinois Institute of Technology,IL,45214,53,103,2991,https://web.iit.edu/homepage
University of Alabama,AL,26950,54,104,31958,https://www.ua.edu/
University of Oregon,OR,33442,78,105,20538,https://www.uoregon.edu/
University of Tennessee,TN,30858,76.3,106,21863,https://www.utk.edu/
Rochester Institute of Technology,NY,38568,57,107,12607,https://www.rit.edu/
University of New Hampshire,NH,31424,80,108,13034,https://unh.edu/
University of San Francisco,CA,44494,65,109,6782,https://www.usfca.edu/
University of South Carolina,SC,31282,65,110,25237,http://www.sc.edu/
Iowa State University,IA,21483,86.9,111,30034,https://www.iastate.edu/
University of Dayton,OH,40940,59,112,8665,https://udayton.edu/
University of Missouri,MO,25892,77.7,113,27812,https://missouri.edu/
University of Nebraska--Lincoln,NE,23148,69.9,114,20182,https://www.unl.edu/
University of Oklahoma,OK,21451,81.3,115,22132,https://www.ou.edu/
University of the Pacific,CA,44588,65,116,3735,http://www.pacific.edu/
University of Utah,UT,27039,76.4,117,23794,https://www.utah.edu/
Michigan Technological University,MI,30968,75.5,118,5721,https://www.mtu.edu/
Seton Hall University,NJ,39258,79.2,119,6090,https://www.shu.edu/
Temple University,PA,25994,55.7,120,28609,https://www.temple.edu/
University of California--Riverside,CA,40263,66.2,121,18608,https://www.ucr.edu/
